"coreid","goodQualityAccessURI","scientificName","caption","comments","tag"
5417687,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202406/4540_Ramboldia_russula_1718913993.jpg","Ramboldia russula","Specimen","","DissectingMicroscopeImage,DryImage,HasOrganism"
5631342,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202406/4798_Mycoporum_acervatum_1718915972.jpg","Mycoporum acervatum","Specimen","","DissectingMicroscopeImage,DryImage,HasOrganism"
5631342,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202406/4798_Mycoporum_acervatum_2_1718916014.jpg","Mycoporum acervatum","Thallus","","DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5631342,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202406/4798_Mycoporum_acervatum_squas_1718916057.jpg","Mycoporum acervatum","Ascomatal squash","","CompoundMicroscopeImage,Diagnostic,HasOrganism,SexuallyReproductive"
5631342,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202406/4798_Mycoporum_acervatum_squas_1718973223.jpg","Mycoporum acervatum","Ascomatal squash","","CompoundMicroscopeImage,Diagnostic,HasOrganism,SexuallyReproductive"
5639563,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202406/4544_Phlyctis_boliviensis_1719081495.jpg","Phlyctis boliviensis","Specimen","","DryImage,HasOrganism"
5639563,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202406/4544_Phlyctis_boliviensis_2_1719081544.jpg","Phlyctis boliviensis","Thallus","","Diagnostic,DissectingMicroscopeImage,DryImage,HasOrganism"
5417692,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202406/4552_Haematomma_accolens_1719082183.jpg","Haematomma accolens","Thallus","","Diagnostic,DissectingMicroscopeImage,HasOrganism,SexuallyReproductive"
5639564,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202406/4535_Pyrenula_pseudobufonia_1719083416.jpg","Pyrenula pseudobufonia","Specimen","","DissectingMicroscopeImage,DryImage,HasOrganism"
5639564,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202406/4535_Pyrenula_pseudobufonia_2_1719083455.jpg","Pyrenula pseudobufonia","Thallus","","DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5639564,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202406/4535_under_UV_1719083494.jpg","Pyrenula pseudobufonia","Thallus under UV","","Diagnostic,DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5639565,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202406/4543_Lecanora_louisianae_1719084895.jpg","Lecanora louisianae","Specimen","","DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
